household_key,total_baskets,unique_products,total_items,total_spend,avg_transaction_value,day_span,active_weeks,total_retail_discount,total_coupon_discount,total_coupon_match_discount,unique_stores_visited,top_department,top_dept_spend,campaigns_participated,coupons_redeemed,basket_frequency,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC
1,86,677,1997,4330.16,2.507330631152287,655,68,-697.04,-80.56,-26.15,2,GROCERY,2755.0,8,5,0.13129770992366413,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
2,45,546,834,1954.34,2.737170868347339,565,35,-334.99,-9.0,0.0,5,GROCERY,1112.49,1,0,0.07964601769911504,,,,,,,
3,47,516,8540,2653.21,2.877668112798265,590,37,-675.16,-61.19,-19.8,3,GROCERY,1784.75,3,0,0.07966101694915254,,,,,,,
4,30,164,382,1200.1100000000001,3.987076411960133,523,26,-115.65,-2.5,0.0,6,GROCERY,698.73,1,0,0.05736137667304015,,,,,,,
5,40,199,245,779.0600000000001,3.5092792792792795,618,27,-118.33,0.0,0.0,3,GROCERY,359.13,0,0,0.06472491909385113,,,,,,,
6,250,811,94690,5996.16,3.3479396984924623,589,84,-828.34,-3.55,-0.45,12,GROCERY,1960.53,4,0,0.4244482173174873,,,,,,,
7,59,829,1554,3400.05,2.643895800933126,686,50,-482.51,-30.4,-5.15,2,GROCERY,1901.3,4,0,0.08600583090379009,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
8,113,1288,68333,5534.97,2.7968519454269836,641,72,-1078.3,-28.35,-1.8499999999999999,3,GROCERY,3107.22,10,1,0.17628705148205928,25-34,U,25-34K,Unknown,2 Adults Kids,3,1
9,20,185,353,797.42,3.6246363636363634,585,19,-181.1,-1.1,-0.9,3,GROCERY,613.92,0,0,0.03418803418803419,,,,,,,
10,9,65,108,234.34,3.347714285714286,571,5,-24.84,0.0,0.0,4,GROCERY,98.05,0,0,0.01576182136602452,,,,,,,
11,5,17,20,33.39,1.855,302,5,-10.98,0.0,0.0,1,GROCERY,9.82,0,0,0.016556291390728478,,,,,,,
12,7,75,103,266.21,3.025113636363636,432,7,-32.7,0.0,0.0,2,GROCERY,143.67,0,0,0.016203703703703703,,,,,,,
13,275,1008,1863829,13190.92,5.61793867120954,608,87,-1627.19,-308.37,-77.75,1,GROCERY,4925.62,10,21,0.45230263157894735,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2
14,140,574,118320,2761.19,2.9786299892125134,700,66,-589.98,-19.080000000000002,-2.25,15,GROCERY,1333.39,5,3,0.2,,,,,,,
15,55,235,465,972.53,3.147346278317152,683,30,-158.59,-2.5,0.0,5,GROCERY,450.87,0,0,0.08052708638360176,,,,,,,
16,98,282,81200,1512.02,2.924603481624758,592,58,-171.29,-1.0,0.0,2,GROCERY,823.76,2,0,0.16554054054054054,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown
17,124,444,295951,5139.63,4.980261627906977,665,65,-1109.56,-76.5,0.0,4,GROCERY,1976.66,5,0,0.18646616541353384,65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
18,163,691,260924,7118.91,3.76462718138551,617,81,-948.66,-62.63,-20.05,7,GROCERY,4289.77,4,8,0.26418152350081037,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown
19,421,1786,529311,11299.61,2.4321157985363757,638,92,-3044.85,-19.59,-5.3,9,GROCERY,5945.71,9,1,0.6598746081504702,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown
20,387,477,477186,7486.11,3.6642731277533036,630,77,-813.92,-20.0,-8.4,10,GROCERY,3709.18,7,0,0.6142857142857143,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown
21,27,228,38801,870.11,3.129892086330935,610,19,-165.66,-1.0,0.0,7,GROCERY,405.13,0,0,0.04426229508196721,,,,,,,
22,136,722,434948,6256.04,3.8239853300733495,686,86,-804.68,-67.19,-8.65,5,GROCERY,2833.11,8,20,0.19825072886297376,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
23,110,450,167359,3158.58,4.200239361702128,602,63,-275.98,-3.0,0.0,4,GROCERY,1956.79,3,0,0.18272425249169436,,,,,,,
24,74,370,960,1911.11,3.072524115755627,650,36,-442.64,0.0,0.0,2,GROCERY,1148.35,0,0,0.11384615384615385,,,,,,,
25,94,452,37391,3149.65,3.090922473012758,694,64,-527.4399999999999,-39.88,0.0,5,GROCERY,1497.94,4,0,0.13544668587896252,35-44,U,50-74K,Unknown,Unknown,1,None/Unknown
26,113,481,1057,1937.39,2.3455084745762713,655,50,-321.64,0.0,0.0,2,GROCERY,1148.66,1,0,0.17251908396946564,,,,,,,
27,405,546,3119,5736.24,2.303710843373494,676,90,-478.11,-18.3,-1.44,15,GROCERY,3367.31,7,0,0.599112426035503,45-54,U,25-34K,Probable Renter,Single Female,1,None/Unknown
28,125,370,32861,2119.62,3.3275039246467815,587,67,-308.19,-3.0,0.0,8,GROCERY,1142.0,4,0,0.21294718909710392,,,,,,,
29,69,341,669,1343.03,2.8274315789473685,675,44,-298.2,-3.39,-0.4,4,GROCERY,934.37,5,1,0.10222222222222223,,,,,,,
30,28,133,64818,622.8,4.265753424657534,634,21,-100.89,-3.0,0.0,4,GROCERY,231.69,0,0,0.04416403785488959,,,,,,,
31,69,686,368604,4396.9,4.063678373382625,611,43,-946.68,-254.87,-84.33,11,GROCERY,2129.31,2,2,0.11292962356792144,35-44,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
32,116,714,264307,3381.82,3.44030518819939,662,65,-389.98,-4.15,-0.8500000000000001,17,GROCERY,1586.8,6,0,0.17522658610271905,,,,,,,
33,52,257,28889,1200.74,3.7059876543209875,601,34,-274.93,0.0,0.0,5,GROCERY,525.95,0,0,0.08652246256239601,,,,,,,
34,36,120,10276,407.38,2.9954411764705884,705,27,-69.84,-1.0,0.0,4,GROCERY,160.71,0,0,0.05106382978723404,,,,,,,
35,60,240,43905,1119.51,3.623009708737864,686,34,-153.36,-1.0,0.0,5,GROCERY,615.03,0,0,0.08746355685131195,,,,,,,
36,221,681,10709,4898.25,3.6043046357615895,620,77,-866.01,-1.75,-1.25,7,GROCERY,3073.62,3,0,0.3564516129032258,,,,,,,
