Feature,Coefficient,P-Value,Significant
top_dept_spend,2187.7902561970604,0.0,True
total_items,745.8635112760098,1.1322784447971467e-206,True
unique_products,519.1646493523907,7.897262135123473e-55,True
basket_frequency,442.15566592937125,0.000911836538326391,True
total_baskets,-257.9305753840522,0.05987657198195036,False
avg_basket_value,191.89158687541016,8.334864986424898e-26,True
avg_items_per_basket,-136.35270745272703,4.049143599685256e-13,True
active_weeks,24.054084895460107,0.3270985229377452,False
coupons_redeemed,-14.699429894218959,0.2892579294298292,False
campaigns_participated,-7.98872740811737,0.7376576153662198,False
