,Cluster_1,Cluster_0
total_baskets,0.36520762929982326,0.6172479696324521
unique_products,0.7364882879632905,0.8944524804981121
total_items,0.5652659825980911,0.3804571347669835
avg_transaction_value,0.2954261509462435,0.047532948849833674
day_span,-0.011319937398834839,0.26632190011654344
active_weeks,0.3421823531053834,0.6989449099077575
total_retail_discount,-0.6644056592469452,-0.8344723986266522
total_coupon_discount,-0.19914002629229327,-0.2897474845331819
total_coupon_match_discount,-0.10627023264369813,-0.19709231480369266
unique_stores_visited,-0.018589780149388262,0.20859921586088917
top_dept_spend,0.9149572947914947,0.9523402730895795
campaigns_participated,0.353969679436339,0.6881849575805945
coupons_redeemed,0.17339640519021413,0.20772956690541783
basket_frequency,0.36713863317405926,0.600893271443314
