,PC1,PC2,PC3,PC4,PC5
total_baskets,0.296799172225365,0.23000591725700925,0.00037894788074087566,-0.15596797581475327,0.23020632392704218
unique_products,0.3307190756328564,0.09030450349942344,-0.06114673971904701,-0.09109462675235587,-0.15145879886489041
total_items,0.2262266103802129,-0.029423561536497382,0.45104722198158176,0.08893232876376381,0.13922286561900776
total_spend,0.336162914485199,0.0581691088622486,0.17625056059543198,-0.05131128058436696,-0.15032480009697413
avg_transaction_value,0.018292565558583208,-0.0691728837937199,0.7371346506928451,0.42856531967733935,-0.03129251133167986
day_span,0.10979603986836993,0.14661262043451032,-0.3301882476360583,0.7150788898144005,-0.40458466524918274
active_weeks,0.303843538586361,0.18646105677603927,-0.1440897481382034,0.09785522292287338,-0.03239373509698784
total_retail_discount,-0.32657353123500676,0.009773153261142998,0.005220131043187743,0.10457626314357821,0.15941501068538594
total_coupon_discount,-0.22157772820309574,0.5151023352782624,0.0981255328504712,-0.039912152217328016,-0.11610127639376519
total_coupon_match_discount,-0.18636240036860044,0.560763239933168,0.1366166799143232,-0.05857109303609843,-0.1282335151901446
unique_stores_visited,0.13378890882857966,0.17601630588362027,-0.18305641435476783,0.43271371680354387,0.7256709732862017
top_dept_spend,0.3324824384601927,0.05033534940628348,0.1053750306548192,-0.0667090825376955,-0.2043729108546714
campaigns_participated,0.30535712136795645,0.061411485933747484,-0.09592398511711268,-0.03348068054182984,-0.15584027830753774
coupons_redeemed,0.18835663309334086,-0.4540215110388811,-0.07633472262207898,0.035232370092957044,-0.0008237212226172688
basket_frequency,0.29325302005768783,0.22436906523983233,0.025249009655571954,-0.2055212164690434,0.26149072008426216
